,5.20 Barlelona(三),5.21 Barlelona (四),5.22 Barlelona(五),5.23  Barlelona(六),5.24  Granada(日),5.25  Granada(一),5.26 Cordoba(二),5.27 Sevilia(三),5.28 Sevilla(四),5.29 Ronda(五),5.30 Madrid(六),5.31 Madrid(日),6.1 Madrid(一),6.2 Madrid (二),6.3 Barlelona(三) 
7:00 上午,,海边日出，四个盒子,,,,,,,,,7:30 火车到马德里,,,,
8:00 上午,,,,,,,,科尔多瓦清真寺8:30-9:30免费,,,,,马德里周边一日游：跟团托雷多+塞哥维亚,,
9:00 上午,"AC820, Toronto - Barcelona. 19:30-9:20+1(YYZ-BCN)",米拉之家 9:15,Tossa小镇游,Montserrat一日游：R5火车,9:30am bus to airport,,格拉纳达小火车逛逛（1.5小时）,,塞维利亚主教堂，塞维利亚王宫 11:30，吉拉达，塞维利亚大学……,龙达一日游：DAMAS大巴,,"游览马德里：德波神庙，塞拉尔博物馆(周日免费，下午关门早)，塞万提斯纪念碑,  马德里王宫14:30，Almudena教堂",,游览马德里：伯纳乌球场，英国宫百货，Gran Via大道,
10:00 上午,,,,,,格拉纳达主教堂，皇家礼拜堂,,,,,,,,,
11:00 上午,11am 机场大巴A1(加泰罗尼亚广场终点站)，买往返票。11:30am 市区酒店🏨Hotel Cortes🏨,巴特罗之家 11:15,,,,,,11:20-12:28  火车到塞维利亚,,,入住酒店🏨 Mediodía Hotel Hotel Mediodía🏨,,,,
12:00 下午,市内交通建议买家庭8次卡，多人一起用，75分钟之内换乘免费。,,,,"巴塞罗那 飞 格拉纳达 VY2012, 12:00-13:35",,12:48-14:46 火车到科尔多瓦,,,,吃饭在James Joyce Irish Pub Madrid，看wsbk比赛,12:30 吃饭在Chiangju Restaurant,,,
1:00 下午,,,,,自带午餐飞机上吃,,,,,,丽池公园，独立广场，Cibeles广场，太阳门广场，主广场,,,,"飞回多伦多 AC821, Barcelona - Toronto . 13:15-16:00(BCN-YYZ)"
2:00 下午,城市漫步：主教堂，哥特区，亲吻墙……,,,,机场大巴0245到市中心大教堂站，拿格拉纳达卡，步行入住酒店🏨Pensión Boutique Gomérez Gallegos🏨.,公交C32，正义之门下车，Alhanbra 阿宫,,去Iglesia Colegial del Divino Salvador教堂买大教堂和吉拉达三联票,,,,,,,
3:00 下午,圣十字保罗医院,圣家堂 15:45,,,"加尔都西会修道院，
Basilica de San Juan de Dios(一卡通不包，单独买票），
圣赫罗尼莫修道院",,入住酒店🏨 Eurostars Conquistador🏨,入住民宿🏩Rey de Sevilla Flats - Arenal🏩,, ,,,,,
4:00 下午,,,,,,,游览科尔多瓦：百花巷，犹太区，罗马桥，基督教君主城堡……,,,,,,,,
5:00 下午,,,桂尔公园,,,Alhambra- Palacios Nazaríes,,塞维利亚斗牛场每周三17:45后免费,,,,普拉多博物馆（关门前2小时免费）,,,
6:00 下午,,,,,晚饭,,,,玛利亚路易莎公园,,,,,,
7:00 下午,"Tibidabo山，圣心圣殿看落日
",毕加索博物馆（每周四7点后免费）,,,,晚饭,,Teatro Flamenco Sevilla看弗拉明戈 19:00,西班牙广场,,索菲亚王后国家艺术中心（7点后免费）,,,"晚上7点火车到巴塞罗那
Madrid Atocha-
Barcelona Sants",
8:00 下午,,,,,阿拉伯浴场泡澡（7：40入场）,坐公交圣尼古拉斯观景台看日落,,,,,,,,"火车站打车到机场附近酒店 
Alberg Centre Esplai",
9:00 下午,,,,,,,,都市阳伞看落日夜景,,,,,,,
10:00 下午,,,,,回酒店休息,回酒店休息,,,,,,,,,
11:00 下午,,,,,,,,,,,,,,,
